_id,product_name,product_price,content,option,date,rating
6788dc9aadf9449380c2708f,ABC JUICE,43000,아주 건강한 맛이 나요 ㅎㅎ 근데 먹기 거북하거나 그런 건 전혀 없고 건더기가 있어서 그런지 포만감도 있고 좋습니다~!\n혈*때문에 하루 1번 마실 생각인데 건강 챙기려고 산 거라 마시고 괜첞으면 또 주문하려구요!\n\n(2021-01-08 10:48:53 에 등록된 네이버 페이 구매평)\n리뷰 더보기,,2021.1.9,5
6788dca4adf9449380c27090,ABC JUICE,43000,연말이라 늦게 올 줄 알았는데 이렇게 빨리 도착 할 줄 몰랐어요! 감사합니다~\n\n(2020-12-30 15:03:42 에 등록된 네이버 페이 구매평),,2020.12.31,5
6788dcaeadf9449380c27091,ABC JUICE,43000,재구매합니다\n항상 먹는주스 또 재구매 했습니다~~!^^\n매일 아침에 한개씩 챙겨 먹어요ㅎㅎ\n다먹고 또 구매할께요~~~\n리뷰 더보기,,2020.12.20,5
6788dcb8adf9449380c27092,ABC JUICE,43000,든든해요!!!\n남편이랑 임신8개월인 저랑 한가지씩 시켜서 먹어봤는데\n넘 건강해질것같아요\n몸도 가볍고 아침을 거르는 남편한테 딱인거같아요\n철분이 부족하고 순환이 안되는 저에게도 도움받고싶어\n주문했는데 단골될거같아여!!!\n리뷰 더보기,,2020.12.10,5
6788dcc3adf9449380c27093,ABC JUICE,43000,"지금까지 먹었던것 중, 씹히는건 처음 .. 진짜 물만 있는게 아니고\n과즙 자체가 같이 있음 건강해지겟어..\n\n(2020-12-07 09:55:53 에 등록된 네이버 페이 구매평)\n리뷰 더보기",,2020.12.8,5
6788dccdadf9449380c27094,ABC JUICE,43000,ABC쥬스 처음 구입해서 먹어봤어요. 통째로 갈아서 더 건강한것 같구요. 지금 일주일째 섭취중인데 5kg 정도 빠졌습니다 68.7-62.4키로 됐습니다.\n\n그리고 이고 피부에도 효*가 좋은가요?? 먹다보니 느끼는건데 여드름?뽀드락지같은것도 사라지고 부드러워진것 같아서요.\n\nABC쥬스 효*중에 피부미용효*도 있는건가요??\n리뷰 더보기,,2020.12.1,5
6788dcd8adf9449380c27095,ABC JUICE,43000,건강한맛이에요~~!!,,2020.11.11,5
6788dce2adf9449380c27096,ABC JUICE,43000,생각보다 엄청 양이 많네요! 집에서 간 과일주스 맛이에요~ 당도가 많이 없지만 건강한 맛입니다. 꼼꼼하게 포장되어 왔어요!,,2020.11.11,5
6788dcecadf9449380c27097,ABC JUICE,43000,한달에 10일은 꾸준히 해보려고요.\n기존의 ABC Juice 는 너무 묽고 원액이 없어서 별로 였는데 라티브는 정말로 사과 당근 비트가 잘 갈려져 있는 느낌이 나서 너무 좋았어요.\n먹으니깐 속도 든든해서 한달에 10일 정도 디**는 좋을듯 합니다.\n\n\n또한 빨간 책자에 있는 5일동안의 식단표 및 서브웨@ 대체 메뉴까지 정말 배려심이 느껴지고 챙김을 받는 느낌이었습니다.\n\n\n계속 디** 열심히 할려고요!\n리뷰 더보기,,2020.10.30,5
6788dcf7adf9449380c27098,ABC JUICE,43000,재구매의사있음\n유툽보고 샀어요ㅋ 이리저리비교해보고삼ㅋ\n\n처음먹어보지만ㅋ 저한텐 맛은 좋은거같아요\n리뷰 더보기,,2020.10.21,5
